term 	 tf-idf weight 	 BM25 ranking 
 abolition 	 218.07684458032074 1.9156064339508632 
reality 	 3476.366558087697 0.9134478523615482 
dialogue 	 5255.449918703899 0.9134478523615482 
arises 	 6188.426023737586 0.9134478523615482 
undertaking 	 6575.646093257683 0.9134478523615482 
professionals 	 3893.8350915846654 0.9134478523615482 
ability 	 1436.0397809516098 1.2541125136269544 
influence 	 2316.811119307348 0.9134478523615482 
decision 	 1197.430984052359 1.2541125136269544 
makers 	 2204.6713315606917 1.2541125136269544 
competence 	 5642.669988223996 0.9134478523615482 
crosses 	 6575.646093257683 0.9134478523615482 
methodology 	 4322.473813670213 0.9134478523615482 
help 	 2316.811119307348 0.9134478523615482 
delegations 	 6575.646093257683 0.9134478523615482 
avoid 	 3668.980293628044 0.9134478523615482 
duplication 	 8054.378233804959 0.9134478523615482 
efforts 	 2543.390453054011 0.9134478523615482 
approaches 	 3389.497708636526 0.9134478523615482 
negotiating 	 6188.426023737586 0.9134478523615482 
forums 	 7121.402128771272 0.9134478523615482 
oxford 	 6575.646093257683 0.9134478523615482 
research 	 1544.7427870482688 0.9134478523615482 
dialoguing 	 4027.1891169024793 1.2541125136269544 
traders 	 5888.074803668659 0.9134478523615482 
leaders 	 1394.3976342493368 1.2541125136269544 
weapon 	 4955.098698634973 0.9134478523615482 
free 	 851.6393765208805 1.2541125136269544 
zone 	 4409.342663121383 0.9134478523615482 
success 	 3307.896967671605 0.9134478523615482 
bringing 	 4322.473813670213 0.9134478523615482 
britain 	 4091.1633678469298 0.9134478523615482 
china 	 3268.8797430402074 0.9134478523615482 
corresponding 	 5888.074803668659 0.9134478523615482 
breadth 	 7121.402128771272 0.9134478523615482 
support 	 1869.3469155238004 0.9134478523615482 
involve 	 4955.098698634973 0.9134478523615482 
grassroots 	 6575.646093257683 0.9134478523615482 
postcard 	 8054.378233804959 0.9134478523615482 
letter 	 3721.77137353236 0.9134478523615482 
writing 	 2872.0795619032197 0.9134478523615482 
actions 	 2901.026914130636 0.9134478523615482 
locally 	 5435.183173176507 0.9134478523615482 
nationally 	 7121.402128771272 0.9134478523615482 
local 	 2106.6187757107373 0.9134478523615482 
authorities 	 3476.366558087697 0.9134478523615482 
zones 	 5888.074803668659 0.9134478523615482 
useful 	 4091.1633678469298 0.9134478523615482 
context 	 3307.896967671605 0.9134478523615482 
media 	 388.519520764002 1.4321495899156875 
outreach 	 2944.0374018343296 1.2541125136269544 
cnd 	 4027.1891169024793 1.2541125136269544 
holloway 	 8054.378233804959 0.9134478523615482 
london 	 4322.473813670213 0.9134478523615482 
ail 	 8054.378233804959 0.9134478523615482 
getting 	 3776.717778156624 0.9134478523615482 
especially 	 2335.903638006521 0.9134478523615482 
internal 	 2991.8028780814234 0.9134478523615482 
national 	 767.0512077158472 1.2541125136269544 
newspapers 	 4091.1633678469298 0.9134478523615482 
radio 	 2930.610522574108 0.9134478523615482 
develop 	 3023.474927595545 0.9134478523615482 
register 	 4502.20706814282 0.9134478523615482 
sympathetic 	 6188.426023737586 0.9134478523615482 
journalists 	 3668.980293628044 0.9134478523615482 
feed 	 5435.183173176507 0.9134478523615482 
cinema 	 8054.378233804959 0.9134478523615482 
advertisement 	 6575.646093257683 0.9134478523615482 
adaptation 	 5642.669988223996 0.9134478523615482 
changed 	 3776.717778156624 0.9134478523615482 
message 	 1440.8246045567375 1.4321495899156875 
promote 	 3956.4510326292307 0.9134478523615482 
copies 	 4709.69388319031 0.9134478523615482 
video 	 4322.473813670213 0.9134478523615482 
tool 	 3618.1818121631313 0.9134478523615482 
recorded 	 4601.9563986617295 0.9134478523615482 
entire 	 3618.1818121631313 0.9134478523615482 
proceedings 	 4502.20706814282 0.9134478523615482 
icj 	 8054.378233804959 0.9134478523615482 
series 	 3055.9102320209604 0.9134478523615482 
programmes 	 1962.6916012228867 1.4321495899156875 
cable 	 4955.098698634973 0.9134478523615482 
commentators 	 6575.646093257683 0.9134478523615482 
newsletter 	 2477.5493493174863 1.2541125136269544 
tobias 	 8054.378233804959 0.9134478523615482 
damjanov 	 8054.378233804959 0.9134478523615482 
society 	 2043.2659060958886 0.9134478523615482 
dfg 	 4027.1891169024793 1.2541125136269544 
ines 	 4027.1891169024793 1.2541125136269544 
pob 	 8054.378233804959 0.9134478523615482 
dortmund 	 8054.378233804959 0.9134478523615482 
nrw 	 8054.378233804959 0.9134478523615482 
anarch 	 8054.378233804959 0.9134478523615482 
ping 	 6575.646093257683 0.9134478523615482 
internet 	 1393.3474213559437 0.9134478523615482 
www 	 585.3218235359925 0.9134478523615482 
page 	 660.7175310685801 0.9134478523615482 
http 	 590.5693935354673 0.9134478523615482 
cac 	 8054.378233804959 0.9134478523615482 
psu 	 7121.402128771272 0.9134478523615482 
edu 	 1471.9683072184775 0.9134478523615482 
duf 	 8054.378233804959 0.9134478523615482 
social 	 1727.531661448366 0.9134478523615482 
html 	 528.9097580373451 0.9134478523615482 
cover 	 3194.082723385832 0.9134478523615482 
anti 	 2612.431227299654 0.9134478523615482 
mailing 	 5435.183173176507 0.9134478523615482 
hard 	 3668.980293628044 0.9134478523615482 
copy 	 4322.473813670213 0.9134478523615482 
organisation 	 5642.669988223996 0.9134478523615482 
sign 	 3618.1818121631313 0.9134478523615482 
signatories 	 4027.1891169024793 1.2541125136269544 
send 	 474.09825786112026 1.4321495899156875 
name 	 2636.2548580754474 0.9134478523615482 
address 	 1436.0397809516098 1.2541125136269544 
affiliation 	 6188.426023737586 0.9134478523615482 
coast 	 4502.20706814282 0.9134478523615482 
village 	 3348.0790560710757 0.9134478523615482 
suit 	 4826.8111966183515 0.9134478523615482 
santa 	 4826.8111966183515 0.9134478523615482 
barbara 	 4601.9563986617295 0.9134478523615482 
pmeidell 	 8054.378233804959 0.9134478523615482 
invited 	 4601.9563986617295 0.9134478523615482 
yearly 	 8054.378233804959 0.9134478523615482 
list 	 3089.1464885676 0.9134478523615482 
server 	 5255.449918703899 0.9134478523615482 
sending 	 4502.20706814282 0.9134478523615482 
majordomo 	 7121.402128771272 0.9134478523615482 
text 	 3521.9980466431643 0.9134478523615482 
subscribe 	 5642.669988223996 0.9134478523615482 
receive 	 3055.9102320209604 0.9134478523615482 
messages 	 4826.8111966183515 0.9134478523615482 
participators 	 8054.378233804959 0.9134478523615482 
subject 	 1189.9580219535871 0.9134478523615482 
preferred 	 5255.449918703899 0.9134478523615482 
issue 	 955.3827840446254 1.2541125136269544 
method 	 2901.026914130636 0.9134478523615482 
communicating 	 5642.669988223996 0.9134478523615482 
easier 	 4826.8111966183515 0.9134478523615482 
wish 	 4163.937847676721 0.9134478523615482 
networking 	 3287.8230466288414 1.2541125136269544 
skill 	 5642.669988223996 0.9134478523615482 
relates 	 4022.1225936012866 0.9134478523615482 
violence 	 3268.8797430402074 0.9134478523615482 
individual 	 2261.106618352146 0.9134478523615482 
takes 	 3348.0790560710757 0.9134478523615482 
looks 	 2335.903638006521 0.9134478523615482 
preference 	 5642.669988223996 0.9134478523615482 
conflict 	 2815.988112548055 0.9134478523615482 
basis 	 2660.5077664820524 0.9134478523615482 
cooperation 	 4322.473813670213 0.9134478523615482 
complementation 	 8054.378233804959 0.9134478523615482 
competition 	 3521.9980466431643 0.9134478523615482 
