term 	 tf-idf weight 	 BM25 ranking 
 united 	 223.36010734125406 1.7495287648185938 
hotels 	 5958.54392775922 0.9322619539254282 
clubs 	 5433.061147651039 0.9322619539254282 
mooring 	 3428.431336882455 1.2717307915514249 
vary 	 4771.031139250315 0.9322619539254282 
marina 	 3428.431336882455 1.2717307915514249 
charge 	 1194.5061169138035 1.4474154790941047 
footage 	 6856.86267376491 0.9322619539254282 
annum 	 7755.181419770599 0.9322619539254282 
upto 	 7755.181419770599 0.9322619539254282 
feet 	 4245.548359142134 0.9322619539254282 
apart 	 4431.007052500447 0.9322619539254282 
include 	 2212.622129525791 0.9322619539254282 
maintenance 	 3304.734002757849 0.9322619539254282 
washing 	 7755.181419770599 0.9322619539254282 
battery 	 4907.578367542858 0.9322619539254282 
people 	 1518.5904952079454 0.9322619539254282 
pay 	 2821.7468330282645 0.9322619539254282 
costs 	 2765.390127954363 0.9322619539254282 
berthing 	 6856.86267376491 0.9322619539254282 
moor 	 7755.181419770599 0.9322619539254282 
buoys 	 7755.181419770599 0.9322619539254282 
keep 	 3040.869756765203 0.9322619539254282 
trailers 	 6331.379893656728 0.9322619539254282 
outside 	 3075.431804983684 0.9322619539254282 
homes 	 4083.3369258737425 0.9322619539254282 
kept 	 4431.007052500447 0.9322619539254282 
beaches 	 5958.54392775922 0.9322619539254282 
slipways 	 7755.181419770599 0.9322619539254282 
launching 	 5669.349885256005 0.9322619539254282 
powerboats 	 7755.181419770599 0.9322619539254282 
wide 	 2765.390127954363 0.9322619539254282 
services 	 1826.3559916302145 0.9322619539254282 
exporter 	 7755.181419770599 0.9322619539254282 
ads 	 5958.54392775922 0.9322619539254282 
assists 	 5060.225181753532 0.9322619539254282 
locating 	 6856.86267376491 0.9322619539254282 
trader 	 6856.86267376491 0.9322619539254282 
wtdr 	 7755.181419770599 0.9322619539254282 
provides 	 2305.899785039907 0.9322619539254282 
credit 	 3110.9408755314803 0.9322619539254282 
potential 	 886.5117999199575 1.4474154790941047 
comparison 	 2108.886780380888 0.9322619539254282 
shopping 	 5669.349885256005 0.9322619539254282 
identifies 	 4534.742401645351 0.9322619539254282 
product's 	 7755.181419770599 0.9322619539254282 
promote 	 3809.4803404810423 0.9322619539254282 
biennial 	 6856.86267376491 0.9322619539254282 
exhibition 	 3165.689946828364 1.2717307915514249 
held 	 2448.9108671307563 0.9322619539254282 
details 	 3436.6443745835345 0.9322619539254282 
organizers 	 5433.061147651039 0.9322619539254282 
centre 	 4647.509146223911 0.9322619539254282 
management 	 2159.7168246275405 0.9322619539254282 
box 	 3347.229613136445 0.9322619539254282 
telephone 	 3223.7076201100404 0.9322619539254282 
fascimile 	 7755.181419770599 0.9322619539254282 
contact 	 2092.377002973339 0.9322619539254282 
james 	 3263.587689742153 0.9322619539254282 
kfouri 	 7755.181419770599 0.9322619539254282 
sandra 	 6331.379893656728 0.9322619539254282 
royan 	 7755.181419770599 0.9322619539254282 
proposed 	 3147.4503320803187 0.9322619539254282 
dates 	 5433.061147651039 0.9322619539254282 
powered 	 6331.379893656728 0.9322619539254282 
excluding 	 2834.6749426280026 1.2717307915514249 
houseboats 	 3428.431336882455 1.2717307915514249 
outdrive 	 7755.181419770599 0.9322619539254282 
motorboats 	 3165.689946828364 1.2717307915514249 
cabin 	 5669.349885256005 0.9322619539254282 
motoryachts 	 7755.181419770599 0.9322619539254282 
sailboats 	 6856.86267376491 0.9322619539254282 
auxiliary 	 5669.349885256005 0.9322619539254282 
millions 	 4009.2596215371696 0.9322619539254282 
real 	 2585.4580954232993 0.9322619539254282 
approx 	 7755.181419770599 0.9322619539254282 
plus 	 4161.906435747842 0.9322619539254282 
equals 	 6856.86267376491 0.9322619539254282 
inflation 	 4334.963120589224 0.9322619539254282 
assumed 	 3304.734002757849 0.9322619539254282 
estimates 	 5433.061147651039 0.9322619539254282 
exchange 	 3075.431804983684 0.9322619539254282 
usd 	 5958.54392775922 0.9322619539254282 
dirhams 	 7755.181419770599 0.9322619539254282 
receptivity 	 6856.86267376491 0.9322619539254282 
lowest 	 5433.061147651039 0.9322619539254282 
receptive 	 7755.181419770599 0.9322619539254282 
artwork 	 5669.349885256005 0.9322619539254282 
pfd 	 5669.349885256005 0.9322619539254282 
gif 	 447.8737683140643 0.9322619539254282 
return 	 1967.364497994258 0.9322619539254282 
recreational 	 4907.578367542858 0.9322619539254282 
home 	 578.7962097145754 0.9322619539254282 
page 	 636.1737892012479 0.9322619539254282 
index2 	 4907.578367542858 0.9322619539254282 
htm 	 850.2539050193018 0.9322619539254282 
