term 	 tf-idf weight 	 BM25 ranking 
 copyright 	 58.92801373945206 1.874816544285572 
ratanakiri 	 52897.996721274765 0.22695777159731326 
inspire 	 40643.15456897493 0.22695777159731326 
pioneering 	 52897.996721274765 0.22695777159731326 
spirit 	 27347.110381472667 0.22695777159731326 
hardest 	 46770.575645124845 0.22695777159731326 
backpackers 	 26448.998360637383 0.407655276614473 
companies 	 2749.5857588150197 0.9451660557641991 
cautious 	 52897.996721274765 0.22695777159731326 
area's 	 52897.996721274765 0.22695777159731326 
immediate 	 12992.209185899852 0.407655276614473 
spite 	 43186.264089448676 0.22695777159731326 
aggressive 	 19335.282787678658 0.407655276614473 
stance 	 35696.1510036258 0.22695777159731326 
ministry 	 12786.590716793626 0.407655276614473 
promote 	 2598.44183717997 1.1228251713993636 
spared 	 52897.996721274765 0.22695777159731326 
conflict 	 18494.305285976825 0.22695777159731326 
reportedly 	 33474.53145762259 0.22695777159731326 
free 	 3728.822233008709 0.5549280754019316 
mines 	 40643.15456897493 0.22695777159731326 
offer 	 2146.8719857708347 1.1228251713993636 
cross 	 24096.423325164866 0.22695777159731326 
border 	 14194.156208337548 0.407655276614473 
opportunities 	 3710.1485567541963 0.8687963950838536 
selling 	 6201.000215249732 0.6772651892054877 
packages 	 4930.819070403573 0.9451660557641991 
northern 	 8805.24114101916 0.5549280754019316 
neighbouring 	 26448.998360637383 0.407655276614473 
natural 	 9928.498647824894 0.407655276614473 
cultural 	 1603.2161590587798 1.1694531186213246 
environmental 	 9928.498647824894 0.407655276614473 
advantages 	 21988.86987791108 0.22695777159731326 
secretary 	 21724.9696836679 0.22695777159731326 
sok 	 20741.735069293514 0.22695777159731326 
chenda 	 52897.996721274765 0.22695777159731326 
sopea 	 52897.996721274765 0.22695777159731326 
indifferent 	 46770.575645124845 0.22695777159731326 
sending 	 14784.364963737939 0.407655276614473 
clients 	 1980.233235483041 1.2113740753058344 
beaten 	 35696.1510036258 0.22695777159731326 
track 	 29568.729927475877 0.22695777159731326 
mentioned 	 32543.1444992074 0.22695777159731326 
ready 	 5036.045570492216 0.780505348675992 
nongnuj 	 52897.996721274765 0.22695777159731326 
dobbs 	 52897.996721274765 0.22695777159731326 
phnom 	 26448.998360637383 0.407655276614473 
penh 	 26448.998360637383 0.407655276614473 
west 	 3145.702793171725 0.780505348675992 
cambodia 	 23385.287822562423 0.407655276614473 
lack 	 3849.4200623410275 0.780505348675992 
weekly 	 7239.708235882807 0.6772651892054877 
royal 	 6694.906291524517 0.780505348675992 
cambodge 	 52897.996721274765 0.22695777159731326 
limit 	 12992.209185899852 0.407655276614473 
short 	 5824.390454606572 0.5549280754019316 
term 	 8656.943887588022 0.407655276614473 
renovated 	 46770.575645124845 0.22695777159731326 
domestic 	 2749.5857588150197 0.9451660557641991 
arrivals 	 17632.665573758255 0.5549280754019316 
hall 	 12992.209185899852 0.407655276614473 
hanoi's 	 13224.499180318691 0.6772651892054877 
noi 	 35696.1510036258 0.22695777159731326 
bai 	 52897.996721274765 0.22695777159731326 
underway 	 43186.264089448676 0.22695777159731326 
terminal 	 8924.03775090645 0.6772651892054877 
building 	 5824.390454606572 0.5549280754019316 
scheduled 	 13673.555190736333 0.407655276614473 
completion 	 33474.53145762259 0.22695777159731326 
doubts 	 38670.565575357316 0.22695777159731326 
raised 	 13434.578072721715 0.407655276614473 
japanese 	 4196.7046420768465 0.8687963950838536 
involvement 	 20977.48237349982 0.22695777159731326 
caav 	 52897.996721274765 0.22695777159731326 
official 	 5017.504912902171 0.6772651892054877 
government 	 1043.0450685832775 1.1228251713993636 
finance 	 23441.30885132596 0.22695777159731326 
initial 	 12590.113926230539 0.407655276614473 
stages 	 31700.60250973717 0.22695777159731326 
german 	 5304.922326330688 0.6772651892054877 
firm 	 12048.211662582433 0.407655276614473 
thyssen 	 52897.996721274765 0.22695777159731326 
supply 	 10862.48484183395 0.407655276614473 
installation 	 30931.421937148843 0.22695777159731326 
equipment 	 21988.86987791108 0.22695777159731326 
loan 	 30223.84440131478 0.22695777159731326 
provided 	 10144.151173453783 0.407655276614473 
firms 	 25984.418371799704 0.22695777159731326 
competing 	 35696.1510036258 0.22695777159731326 
tan 	 17257.866746412506 0.407655276614473 
son 	 27852.390759817812 0.22695777159731326 
nhat 	 52897.996721274765 0.22695777159731326 
allow 	 5367.179964427087 0.6772651892054877 
main 	 3965.3622004402905 0.6772651892054877 
gateway 	 43186.264089448676 0.22695777159731326 
upgraded 	 21593.132044724338 0.407655276614473 
pax 	 46770.575645124845 0.22695777159731326 
capacity 	 12221.567214719935 0.407655276614473 
sources 	 3428.9025604420785 0.5549280754019316 
suggested 	 25573.18143358725 0.22695777159731326 
departure 	 35696.1510036258 0.22695777159731326 
taxes 	 26415.723423057483 0.22695777159731326 
airports 	 14395.421363149557 0.5549280754019316 
costs 	 3143.7819870263074 0.8687963950838536 
begun 	 12890.188525119105 0.5549280754019316 
twice 	 12352.947671099584 0.5549280754019316 
boeing 	 21593.132044724338 0.407655276614473 
myanmar 	 21593.132044724338 0.407655276614473 
london 	 14194.156208337548 0.407655276614473 
leave 	 13673.555190736333 0.407655276614473 
mondays 	 52897.996721274765 0.22695777159731326 
thursdays 	 52897.996721274765 0.22695777159731326 
yangon 	 52897.996721274765 0.22695777159731326 
abu 	 52897.996721274765 0.22695777159731326 
dhabi 	 52897.996721274765 0.22695777159731326 
proceeding 	 37058.843013298756 0.22695777159731326 
london's 	 46770.575645124845 0.22695777159731326 
heathrow 	 52897.996721274765 0.22695777159731326 
oasis 	 46770.575645124845 0.22695777159731326 
green 	 4752.559765159299 0.780505348675992 
shuttered 	 52897.996721274765 0.22695777159731326 
calm 	 40643.15456897493 0.22695777159731326 
enchanting 	 52897.996721274765 0.22695777159731326 
lakes 	 38670.565575357316 0.22695777159731326 
crumbling 	 46770.575645124845 0.22695777159731326 
architecture 	 11345.750287669804 0.22695777159731326 
refined 	 26448.998360637383 0.407655276614473 
sister 	 18529.421506649378 0.407655276614473 
explosive 	 43186.264089448676 0.22695777159731326 
images 	 16852.565717148205 0.22695777159731326 
trotted 	 52897.996721274765 0.22695777159731326 
guidebooks 	 52897.996721274765 0.22695777159731326 
believe 	 7610.470622460435 0.5549280754019316 
vantage 	 43186.264089448676 0.22695777159731326 
cyclo 	 26448.998360637383 0.407655276614473 
rickshaw 	 52897.996721274765 0.22695777159731326 
ancient 	 11565.550792097167 0.407655276614473 
quarters 	 38670.565575357316 0.22695777159731326 
capital 	 6913.9116897645035 0.5549280754019316 
peaceful 	 35696.1510036258 0.22695777159731326 
lived 	 14194.156208337548 0.407655276614473 
throttle 	 52897.996721274765 0.22695777159731326 
motorcycles 	 52897.996721274765 0.22695777159731326 
hoot 	 52897.996721274765 0.22695777159731326 
impatience 	 52897.996721274765 0.22695777159731326 
insisted 	 37058.843013298756 0.22695777159731326 
ubiquitous 	 46770.575645124845 0.22695777159731326 
leading 	 2270.8266023167275 0.8687963950838536 
transport 	 14479.416471765613 0.407655276614473 
hadn't 	 52897.996721274765 0.22695777159731326 
bargained 	 52897.996721274765 0.22695777159731326 
typhoons 	 52897.996721274765 0.22695777159731326 
frankie 	 52897.996721274765 0.22695777159731326 
nicki 	 52897.996721274765 0.22695777159731326 
left 	 19247.100311705137 0.22695777159731326 
knee 	 46770.575645124845 0.22695777159731326 
deep 	 32543.1444992074 0.22695777159731326 
reached 	 23762.798825796493 0.22695777159731326 
rendezvous 	 52897.996721274765 0.22695777159731326 
finally 	 23762.798825796493 0.22695777159731326 
arrived 	 32543.1444992074 0.22695777159731326 
hieu 	 17632.665573758255 0.5549280754019316 
smiles 	 46770.575645124845 0.22695777159731326 
found 	 5519.290587327564 0.5549280754019316 
lined 	 23385.287822562423 0.407655276614473 
couple 	 7555.961100328695 0.6772651892054877 
cyclos 	 26448.998360637383 0.407655276614473 
visitors 	 1841.4555035884437 1.457715221222392 
usually 	 11130.44567026259 0.407655276614473 
mausoleum 	 26448.998360637383 0.407655276614473 
fascinating 	 26448.998360637383 0.407655276614473 
somewhat 	 27347.110381472667 0.22695777159731326 
eerie 	 52897.996721274765 0.22695777159731326 
monument 	 43186.264089448676 0.22695777159731326 
housing 	 26415.723423057483 0.22695777159731326 
embalmed 	 52897.996721274765 0.22695777159731326 
body 	 6287.563974052615 0.5549280754019316 
leader 	 19648.98769854367 0.22695777159731326 
affectionately 	 52897.996721274765 0.22695777159731326 
known 	 8066.735132187632 0.407655276614473 
uncle 	 35696.1510036258 0.22695777159731326 
thursday 	 37058.843013298756 0.22695777159731326 
closed 	 6963.097689954453 0.6772651892054877 
modernist 	 52897.996721274765 0.22695777159731326 
russian 	 18140.658127991723 0.22695777159731326 
museum 	 35696.1510036258 0.22695777159731326 
quick 	 28388.312416675097 0.22695777159731326 
leader's 	 43186.264089448676 0.22695777159731326 
exhibits 	 33474.53145762259 0.22695777159731326 
english 	 19648.98769854367 0.22695777159731326 
language 	 19052.80677631116 0.22695777159731326 
scarce 	 52897.996721274765 0.22695777159731326 
pillar 	 43186.264089448676 0.22695777159731326 
pagoda 	 15590.191881708282 0.5549280754019316 
interrupted 	 46770.575645124845 0.22695777159731326 
preparations 	 20321.577284487466 0.407655276614473 
ceremony 	 17848.0755018129 0.407655276614473 
honouring 	 52897.996721274765 0.22695777159731326 
monk 	 21593.132044724338 0.407655276614473 
died 	 32543.1444992074 0.22695777159731326 
charming 	 52897.996721274765 0.22695777159731326 
tran 	 52897.996721274765 0.22695777159731326 
quoc 	 52897.996721274765 0.22695777159731326 
lake 	 25180.227852461077 0.22695777159731326 
white 	 4669.144946212252 0.6772651892054877 
horse 	 40643.15456897493 0.22695777159731326 
bearded 	 52897.996721274765 0.22695777159731326 
talked 	 35696.1510036258 0.22695777159731326 
writer 	 29568.729927475877 0.22695777159731326 
barbara 	 30223.84440131478 0.22695777159731326 
cohen 	 38670.565575357316 0.22695777159731326 
quarter 	 12890.188525119105 0.5549280754019316 
walled 	 26448.998360637383 0.407655276614473 
colonial 	 29568.729927475877 0.22695777159731326 
villas 	 23385.287822562423 0.407655276614473 
wide 	 6287.563974052615 0.5549280754019316 
tree 	 30931.421937148843 0.22695777159731326 
boulevards 	 52897.996721274765 0.22695777159731326 
comfort 	 32543.1444992074 0.22695777159731326 
route 	 6508.62889984148 0.780505348675992 
temple 	 46770.575645124845 0.22695777159731326 
literature 	 11107.888403857673 0.22695777159731326 
centre 	 5283.433751622862 0.8687963950838536 
learning 	 23441.30885132596 0.22695777159731326 
faint 	 46770.575645124845 0.22695777159731326 
etchings 	 52897.996721274765 0.22695777159731326 
stone 	 37058.843013298756 0.22695777159731326 
tablets 	 52897.996721274765 0.22695777159731326 
outstanding 	 31700.60250973717 0.22695777159731326 
scholars 	 32543.1444992074 0.22695777159731326 
plunged 	 46770.575645124845 0.22695777159731326 
scene 	 25573.18143358725 0.22695777159731326 
erudition 	 52897.996721274765 0.22695777159731326 
living 	 19445.760357437335 0.22695777159731326 
minutes 	 9652.944314510409 0.5549280754019316 
eased 	 26448.998360637383 0.407655276614473 
bumped 	 52897.996721274765 0.22695777159731326 
swerved 	 52897.996721274765 0.22695777159731326 
tower 	 38670.565575357316 0.22695777159731326 
half 	 7513.849944542023 0.5549280754019316 
hidden 	 31700.60250973717 0.22695777159731326 
pagodas 	 52897.996721274765 0.22695777159731326 
narrow 	 33474.53145762259 0.22695777159731326 
streets 	 38670.565575357316 0.22695777159731326 
silk 	 15590.191881708282 0.5549280754019316 
street 	 3143.7819870263074 0.8687963950838536 
herb 	 46770.575645124845 0.22695777159731326 
steel 	 31700.60250973717 0.22695777159731326 
flower 	 43186.264089448676 0.22695777159731326 
heart 	 12786.590716793626 0.407655276614473 
district 	 22260.89134052518 0.22695777159731326 
owners 	 9115.70346049089 0.5549280754019316 
yellow 	 25573.18143358725 0.22695777159731326 
shophouses 	 52897.996721274765 0.22695777159731326 
prosperous 	 52897.996721274765 0.22695777159731326 
home 	 1973.9809004154502 0.407655276614473 
space 	 9247.152642988412 0.407655276614473 
passing 	 4928.121654579313 0.8687963950838536 
rattan 	 52897.996721274765 0.22695777159731326 
factories 	 37058.843013298756 0.22695777159731326 
wizened 	 52897.996721274765 0.22695777159731326 
women 	 18140.658127991723 0.22695777159731326 
blackened 	 52897.996721274765 0.22695777159731326 
teeth 	 40643.15456897493 0.22695777159731326 
obscure 	 37058.843013298756 0.22695777159731326 
cigarettes 	 40643.15456897493 0.22695777159731326 
cents 	 46770.575645124845 0.22695777159731326 
proprietors 	 46770.575645124845 0.22695777159731326 
fared 	 43186.264089448676 0.22695777159731326 
traditional 	 6225.526594949669 0.5549280754019316 
raw 	 37058.843013298756 0.22695777159731326 
live 	 4508.309966725214 0.780505348675992 
economic 	 2203.075202140441 0.8687963950838536 
reforms 	 25573.18143358725 0.22695777159731326 
arranged 	 43186.264089448676 0.22695777159731326 
vietnamtourism 	 17632.665573758255 0.5549280754019316 
tel 	 15465.710968574422 0.407655276614473 
similar 	 5824.390454606572 0.5549280754019316 
available 	 1976.4922497646912 0.9451660557641991 
request 	 12048.211662582433 0.407655276614473 
picked 	 38670.565575357316 0.22695777159731326 
city's 	 37058.843013298756 0.22695777159731326 
backpacker 	 52897.996721274765 0.22695777159731326 
cafes 	 52897.996721274765 0.22695777159731326 
spectacular 	 46770.575645124845 0.22695777159731326 
backdrop 	 20321.577284487466 0.407655276614473 
silver 	 16737.265728811293 0.407655276614473 
scarred 	 46770.575645124845 0.22695777159731326 
mountains 	 34515.73349282501 0.22695777159731326 
descending 	 46770.575645124845 0.22695777159731326 
fog 	 24443.13442943987 0.22695777159731326 
tourists 	 5080.394321121867 1.0118761367923732 
sit 	 35696.1510036258 0.22695777159731326 
wooden 	 43186.264089448676 0.22695777159731326 
hut 	 52897.996721274765 0.22695777159731326 
offered 	 11270.774916813034 0.407655276614473 
bitter 	 40643.15456897493 0.22695777159731326 
tea 	 11898.717001208597 0.5549280754019316 
barefoot 	 52897.996721274765 0.22695777159731326 
hostess 	 52897.996721274765 0.22695777159731326 
clad 	 52897.996721274765 0.22695777159731326 
embroidered 	 52897.996721274765 0.22695777159731326 
scarlet 	 38670.565575357316 0.22695777159731326 
huge 	 15111.92220065739 0.407655276614473 
earrings 	 52897.996721274765 0.22695777159731326 
hanging 	 46770.575645124845 0.22695777159731326 
ear 	 46770.575645124845 0.22695777159731326 
lobes 	 52897.996721274765 0.22695777159731326 
belongs 	 52897.996721274765 0.22695777159731326 
odd 	 46770.575645124845 0.22695777159731326 
ethnic 	 5072.075586726892 0.6772651892054877 
minority 	 11415.705933690653 0.407655276614473 
based 	 906.354952657875 1.2113740753058344 
highlands 	 52897.996721274765 0.22695777159731326 
mountainous 	 37058.843013298756 0.22695777159731326 
closely 	 12992.209185899852 0.407655276614473 
linked 	 14479.416471765613 0.407655276614473 
thai 	 7556.856674467824 0.9451660557641991 
hilltribes 	 52897.996721274765 0.22695777159731326 
hundreds 	 25984.418371799704 0.22695777159731326 
thousands 	 27852.390759817812 0.22695777159731326 
virtually 	 15465.710968574422 0.407655276614473 
retain 	 35696.1510036258 0.22695777159731326 
lifestyle 	 16737.265728811293 0.407655276614473 
conveniences 	 52897.996721274765 0.22695777159731326 
electricity 	 35696.1510036258 0.22695777159731326 
potable 	 52897.996721274765 0.22695777159731326 
tap 	 46770.575645124845 0.22695777159731326 
willing 	 37058.843013298756 0.22695777159731326 
considerable 	 16737.265728811293 0.407655276614473 
distances 	 38670.565575357316 0.22695777159731326 
base 	 8032.141108388288 0.5549280754019316 
camps 	 30223.84440131478 0.22695777159731326 
mai 	 10862.48484183395 0.407655276614473 
temporarily 	 38670.565575357316 0.22695777159731326 
forego 	 46770.575645124845 0.22695777159731326 
modern 	 14850.061297349903 0.22695777159731326 
comforts 	 52897.996721274765 0.22695777159731326 
chance 	 13207.861711528742 0.407655276614473 
firsthand 	 46770.575645124845 0.22695777159731326 
experience 	 5287.149600587054 0.5549280754019316 
trekked 	 52897.996721274765 0.22695777159731326 
ben 	 19445.760357437335 0.22695777159731326 
thanh 	 52897.996721274765 0.22695777159731326 
trips 	 5524.366510765331 0.9451660557641991 
days 	 6225.526594949669 0.5549280754019316 
walking 	 32543.1444992074 0.22695777159731326 
overnight 	 11692.643911281211 0.6772651892054877 
stays 	 23385.287822562423 0.407655276614473 
villages 	 9264.710753324689 0.6772651892054877 
priority 	 29568.729927475877 0.22695777159731326 
tourism's 	 52897.996721274765 0.22695777159731326 
vnat 	 26448.998360637383 0.407655276614473 
agenda 	 31700.60250973717 0.22695777159731326 
fit 	 13673.555190736333 0.407655276614473 
nicely 	 52897.996721274765 0.22695777159731326 
image 	 15996.41325539733 0.22695777159731326 
nto 	 17632.665573758255 0.5549280754019316 
trying 	 8524.39381119575 0.5549280754019316 
rich 	 15465.710968574422 0.407655276614473 
buzzword 	 52897.996721274765 0.22695777159731326 
circles 	 37058.843013298756 0.22695777159731326 
definitions 	 26869.15614544343 0.22695777159731326 
understandably 	 52897.996721274765 0.22695777159731326 
perceived 	 29568.729927475877 0.22695777159731326 
educational 	 6105.237784429984 0.5549280754019316 
relatively 	 9115.70346049089 0.5549280754019316 
environmentally 	 20321.577284487466 0.407655276614473 
friendly 	 15111.92220065739 0.407655276614473 
intrusive 	 52897.996721274765 0.22695777159731326 
host 	 11898.717001208597 0.5549280754019316 
country 	 719.2345346669385 1.4382171396373322 
importantly 	 17848.0755018129 0.407655276614473 
addresses 	 25180.227852461077 0.22695777159731326 
concerns 	 12402.000430499464 0.407655276614473 
shared 	 22541.549833626068 0.22695777159731326 
emerging 	 9652.944314510409 0.5549280754019316 
identity 	 25984.418371799704 0.22695777159731326 
increasing 	 5244.370593374955 0.6772651892054877 
touring 	 52897.996721274765 0.22695777159731326 
diverse 	 33474.53145762259 0.22695777159731326 
explained 	 14479.416471765613 0.407655276614473 
quang 	 52897.996721274765 0.22695777159731326 
trung 	 52897.996721274765 0.22695777159731326 
preserve 	 16271.5722496037 0.407655276614473 
ecological 	 33474.53145762259 0.22695777159731326 
environment 	 2304.7814663393237 0.9451660557641991 
difficult 	 21988.86987791108 0.22695777159731326 
task 	 28958.832943531226 0.22695777159731326 
introducing 	 17257.866746412506 0.407655276614473 
culture 	 2885.6479625293405 0.8687963950838536 
vietnamese 	 10160.788642243733 0.6772651892054877 
fired 	 29568.729927475877 0.22695777159731326 
boosting 	 43186.264089448676 0.22695777159731326 
nguyen 	 46770.575645124845 0.22695777159731326 
van 	 8426.282858574103 0.407655276614473 
nhi 	 52897.996721274765 0.22695777159731326 
learn 	 8032.141108388288 0.5549280754019316 
unique 	 7329.623292637025 0.5549280754019316 
features 	 24096.423325164866 0.22695777159731326 
product 	 3805.2353112302176 0.8687963950838536 
rural 	 34515.73349282501 0.22695777159731326 
countryside 	 46770.575645124845 0.22695777159731326 
fruit 	 21593.132044724338 0.407655276614473 
gardens 	 52897.996721274765 0.22695777159731326 
pottery 	 52897.996721274765 0.22695777159731326 
homes 	 27852.390759817812 0.22695777159731326 
altar 	 52897.996721274765 0.22695777159731326 
basically 	 34515.73349282501 0.22695777159731326 
increase 	 2311.788160747103 1.0118761367923732 
obvious 	 32543.1444992074 0.22695777159731326 
influences 	 20741.735069293514 0.22695777159731326 
arrange 	 40643.15456897493 0.22695777159731326 
belongings 	 46770.575645124845 0.22695777159731326 
houses 	 16737.265728811293 0.407655276614473 
specifically 	 20070.019651608683 0.22695777159731326 
history 	 3244.675908537082 0.5549280754019316 
example 	 5199.18286917266 0.5549280754019316 
emphasis 	 18862.691922157846 0.22695777159731326 
popular 	 10035.009825804342 0.407655276614473 
programmes 	 9667.641393839329 0.6772651892054877 
incorporating 	 33474.53145762259 0.22695777159731326 
farm 	 26415.723423057483 0.22695777159731326 
visits 	 16737.265728811293 0.407655276614473 
conservationists 	 52897.996721274765 0.22695777159731326 
imperial 	 37058.843013298756 0.22695777159731326 
authentic 	 40643.15456897493 0.22695777159731326 
arts 	 26869.15614544343 0.22695777159731326 
performances 	 40643.15456897493 0.22695777159731326 
theatre 	 34515.73349282501 0.22695777159731326 
restoration 	 32543.1444992074 0.22695777159731326 
finished 	 37058.843013298756 0.22695777159731326 
matched 	 40643.15456897493 0.22695777159731326 
enthusiasm 	 23385.287822562423 0.407655276614473 
architectural 	 35696.1510036258 0.22695777159731326 
conservation 	 15465.710968574422 0.407655276614473 
applauded 	 46770.575645124845 0.22695777159731326 
caused 	 8147.711476479956 0.5549280754019316 
havoc 	 52897.996721274765 0.22695777159731326 
developers 	 38670.565575357316 0.22695777159731326 
sadly 	 52897.996721274765 0.22695777159731326 
offering 	 5036.045570492216 0.780505348675992 
package 	 9652.944314510409 0.5549280754019316 
valid 	 26869.15614544343 0.22695777159731326 
availability 	 31700.60250973717 0.22695777159731326 
garden 	 11505.244497608337 0.5549280754019316 
view 	 2899.7513584176395 0.780505348675992 
accommodation 	 12890.188525119105 0.5549280754019316 
buffet 	 26448.998360637383 0.407655276614473 
breakfast 	 38670.565575357316 0.22695777159731326 
cafe 	 35696.1510036258 0.22695777159731326 
fitness 	 38670.565575357316 0.22695777159731326 
daily 	 6690.006550536227 0.5549280754019316 
newspaper 	 25180.227852461077 0.22695777159731326 
welcome 	 25573.18143358725 0.22695777159731326 
discount 	 19335.282787678658 0.407655276614473 
gift 	 16271.5722496037 0.407655276614473 
shop 	 13926.195379908906 0.407655276614473 
rate 	 2116.9785307012403 1.0706503101601446 
double 	 9652.944314510409 0.5549280754019316 
occupancy 	 43186.264089448676 0.22695777159731326 
charge 	 24443.13442943987 0.22695777159731326 
tax 	 20977.48237349982 0.22695777159731326 
located 	 5860.32721283149 0.6772651892054877 
shopping 	 12890.188525119105 0.5549280754019316 
entertainment 	 15465.710968574422 0.407655276614473 
districts 	 34515.73349282501 0.22695777159731326 
kowloon 	 13224.499180318691 0.6772651892054877 
ferry 	 23385.287822562423 0.407655276614473 
mass 	 10006.049188225346 0.22695777159731326 
transit 	 43186.264089448676 0.22695777159731326 
railway 	 23385.287822562423 0.407655276614473 
amagine 	 52897.996721274765 0.22695777159731326 
operator 	 11158.17715254086 0.5549280754019316 
night 	 3960.466470966082 0.8687963950838536 
cruises 	 6612.249590159346 1.0118761367923732 
southern 	 7241.656561222632 0.5549280754019316 
communities 	 12221.567214719935 0.407655276614473 
historic 	 10310.473979049613 0.5549280754019316 
sights 	 52897.996721274765 0.22695777159731326 
seeing 	 5283.433751622862 0.8687963950838536 
returned 	 28958.832943531226 0.22695777159731326 
money 	 16703.990791231394 0.22695777159731326 
passengers 	 3088.236917774896 1.2113740753058344 
option 	 5940.699706449123 0.6772651892054877 
train 	 16737.265728811293 0.407655276614473 
connection 	 25984.418371799704 0.22695777159731326 
generating 	 38670.565575357316 0.22695777159731326 
stalagmite 	 52897.996721274765 0.22695777159731326 
colony 	 38670.565575357316 0.22695777159731326 
coral 	 52897.996721274765 0.22695777159731326 
waters 	 8637.252817889736 0.780505348675992 
near 	 4293.743971541669 0.780505348675992 
sai 	 52897.996721274765 0.22695777159731326 
kung 	 52897.996721274765 0.22695777159731326 
tun 	 23385.287822562423 0.407655276614473 
mun 	 13224.499180318691 0.6772651892054877 
veteran 	 38670.565575357316 0.22695777159731326 
edmund 	 20321.577284487466 0.407655276614473 
tsang 	 7556.856674467824 0.9451660557641991 
sees 	 14194.156208337548 0.407655276614473 
possibilities 	 30223.84440131478 0.22695777159731326 
kong's 	 5877.555191252752 1.0706503101601446 
joined 	 17257.866746412506 0.407655276614473 
watertours 	 7556.856674467824 0.9451660557641991 
deputy 	 11415.705933690653 0.407655276614473 
council 	 10256.055884744344 0.407655276614473 
promoting 	 30223.84440131478 0.22695777159731326 
broad 	 11415.705933690653 0.407655276614473 
perspective 	 19445.760357437335 0.22695777159731326 
served 	 9462.770805558364 0.5549280754019316 
string 	 38670.565575357316 0.22695777159731326 
associations 	 33474.53145762259 0.22695777159731326 
handled 	 30931.421937148843 0.22695777159731326 
predicts 	 46770.575645124845 0.22695777159731326 
modest 	 38670.565575357316 0.22695777159731326 
believes 	 9462.770805558364 0.5549280754019316 
contingent 	 43186.264089448676 0.22695777159731326 
government's 	 24443.13442943987 0.22695777159731326 
willingness 	 38670.565575357316 0.22695777159731326 
improve 	 7513.849944542023 0.5549280754019316 
berthing 	 46770.575645124845 0.22695777159731326 
harbour 	 13224.499180318691 0.6772651892054877 
bit 	 13547.71818965831 0.5549280754019316 
discouraging 	 52897.996721274765 0.22695777159731326 
choppy 	 52897.996721274765 0.22695777159731326 
speed 	 27852.390759817812 0.22695777159731326 
traffic 	 4528.657501391024 0.9451660557641991 
real 	 8817.688874823289 0.407655276614473 
concern 	 9928.498647824894 0.407655276614473 
love 	 22831.411867381306 0.22695777159731326 
boating 	 21593.132044724338 0.407655276614473 
private 	 3400.7361016088835 0.780505348675992 
corporate 	 2748.608734738885 1.0118761367923732 
vessels 	 34515.73349282501 0.22695777159731326 
loading 	 52897.996721274765 0.22695777159731326 
queen's 	 21593.132044724338 0.407655276614473 
pier 	 11692.643911281211 0.6772651892054877 
public 	 9535.367679879046 0.22695777159731326 
situation 	 8578.71175680867 0.407655276614473 
jammed 	 46770.575645124845 0.22695777159731326 
advocating 	 52897.996721274765 0.22695777159731326 
passenger 	 20321.577284487466 0.407655276614473 
kai 	 13547.71818965831 0.5549280754019316 
tak 	 14395.421363149557 0.5549280754019316 
boarding 	 13224.499180318691 0.6772651892054877 
recommended 	 29568.729927475877 0.22695777159731326 
pleasure 	 10566.867503245723 0.5549280754019316 
junks 	 52897.996721274765 0.22695777159731326 
closer 	 18529.421506649378 0.407655276614473 
kwun 	 52897.996721274765 0.22695777159731326 
tong 	 52897.996721274765 0.22695777159731326 
residents 	 8805.24114101916 0.5549280754019316 
partly 	 17848.0755018129 0.407655276614473 
expanding 	 10074.61480043826 0.5549280754019316 
rely 	 32543.1444992074 0.22695777159731326 
relatives 	 16271.5722496037 0.407655276614473 
accompany 	 38670.565575357316 0.22695777159731326 
sight 	 20321.577284487466 0.407655276614473 
conveniently 	 46770.575645124845 0.22695777159731326 
suitably 	 52897.996721274765 0.22695777159731326 
priced 	 23385.287822562423 0.407655276614473 
promoted 	 35696.1510036258 0.22695777159731326 
trip 	 4317.6920573306825 0.9451660557641991 
lei 	 40643.15456897493 0.22695777159731326 
yue 	 52897.996721274765 0.22695777159731326 
lamma 	 17632.665573758255 0.5549280754019316 
marketed 	 21593.132044724338 0.407655276614473 
seafood 	 23385.287822562423 0.407655276614473 
eating 	 34515.73349282501 0.22695777159731326 
opportunity 	 20512.11176948869 0.22695777159731326 
worship 	 37058.843013298756 0.22695777159731326 
temples 	 52897.996721274765 0.22695777159731326 
drink 	 38670.565575357316 0.22695777159731326 
bars 	 40643.15456897493 0.22695777159731326 
established 	 21219.68930532275 0.22695777159731326 
community 	 6812.479806950183 0.407655276614473 
talk 	 27347.110381472667 0.22695777159731326 
enjoy 	 9856.243309158626 0.5549280754019316 
simpler 	 46770.575645124845 0.22695777159731326 
style 	 7241.656561222632 0.5549280754019316 
chosen 	 14479.416471765613 0.407655276614473 
notes 	 3119.5097215035958 0.780505348675992 
adapted 	 43186.264089448676 0.22695777159731326 
accommodate 	 40643.15456897493 0.22695777159731326 
grows 	 40643.15456897493 0.22695777159731326 
sophisticated 	 15111.92220065739 0.407655276614473 
dominated 	 15111.92220065739 0.407655276614473 
especially 	 7670.649390779215 0.407655276614473 
western 	 7798.774303758989 0.407655276614473 
educated 	 38670.565575357316 0.22695777159731326 
historical 	 14731.401797613778 0.22695777159731326 
side 	 3889.152071487467 0.780505348675992 
lin 	 2318.0379649263027 0.780505348675992 
monastery 	 9354.115129024969 0.780505348675992 
elderly 	 27347.110381472667 0.22695777159731326 
tend 	 15850.301254868586 0.407655276614473 
